FECHA,Sum_COSTE_MP,Sum_COSTE_TAPIZADO,Sum_DTO_LINEAS,Sum_DTO_PP,Sum_I_BRUTO,Sum_I_COMISION,Sum_IMPORTE_LINEA,Sum_MARGEN_BRUTO,Sum_MARGEN_LINEA,Sum_NUMERO_PLAZAS,Sum_UNIDADES,Pro_HIPOTECA,Pro_INCIDENCIAS,Pro_PIB,Pro_TASA_PARO
2019-01-07,10922.959999999997,3801.7600000000007,111.07852459016391,12.878524590163938,1552.6003278688524,56.99803278688525,22052.010000000002,1428.643606557377,11129.140000000001,8325,66,2437.21,54.92,22548.05,15.99
2019-01-08,11589.970000000003,3534.1999999999985,60.883870967741956,13.322580645161292,1117.5459677419356,47.16983870967741,26385.36000000001,1043.3390322580644,14795.59,9425,65,1553.48,82.07,26044.06,12.8
2019-01-09,7419.34,1987.3500000000001,117.69513513513509,14.378648648648648,1232.2943243243244,43.77783783783783,16854.57,1100.2194594594594,9435.24,5900,40,2471,60.23,27238.54,12.21
2019-01-10,21573.76999999999,6387.270000000008,79.53983333333332,18.13508333333333,1177.47525,53.83675,48475.740000000034,1079.7989166666666,26902.13,19725,125,2174.91,53.18,23267.98,15.11
2019-01-11,7498.09,2175.5000000000005,123.91230769230769,12.025384615384615,1232.5076923076922,32.24820512820513,17564.479999999992,1096.57,10066.460000000001,6300,40,2470.77,57.38,27160.54,12.69
2019-01-14,9643.679999999998,2809.7099999999996,66.29408163265306,13.142857142857142,1088.625918367347,49.795102040816325,21966.030000000002,1009.1908163265307,12322.380000000001,8675,49,2050.04,41.45,23423.88,14.29
2019-01-15,8115.1,1904.1599999999999,58.77041666666667,14.84208333333334,1097.8799999999999,47.739583333333336,18325.920000000002,1024.2677083333333,10210.830000000002,7650,48,2196.12,53.29,23081.02,14.12
2019-01-16,10505.860000000004,2759.29,53.19145161290322,14.438225806451612,1193.0816129032257,52.23032258064516,24303.16,1125.4535483870968,13797.390000000001,9425,62,1714.39,83.58,26344.5,14.16
2019-01-17,18274.609999999997,5321.970000000001,83.71978723404258,19.41042553191489,1305.216595744681,54.251489361702134,43597.35,1202.086276595745,25322.879999999994,13550,96,2458.65,57.41,22361.33,17.25
2019-01-18,4304.79,2283.9199999999996,96.05999999999999,0,1233.737142857143,12.021428571428576,5562.139999999999,1137.6771428571428,1257.3700000000003,2100,25,2637.29,36.1,24863.57,14.18
2019-01-21,10069.49,3769.89,88.51369565217391,13.49326086956522,1379.7241304347826,63.966521739130435,20817.269999999997,1277.7171739130436,10747.839999999998,8025,47,1440.11,104.2,26088.54,13.72
2019-01-22,13858.199999999995,4077.2400000000007,73.65863013698632,19.094794520547943,1209.235068493151,51.29123287671233,31967.820000000007,1116.4808219178087,18109.789999999997,11450,74,2111.63,34.61,24171.86,14.67
2019-01-23,6828.629999999998,2286.3799999999997,104.47333333333336,4.535897435897437,1258.0946153846157,52.08230769230771,16076.360000000004,1149.084871794872,9247.750000000002,5075,40,2111.03,72.69,26779.13,13.96
2019-01-24,14506.210000000003,4880.340000000001,92.33612500000002,9.927374999999987,1333.153375,62.483125,33463.470000000016,1230.8908750000003,18957.390000000007,10600,86,1935.71,52.15,24820.68,14.44
2019-01-25,11575.960000000003,2914.2299999999987,108.35758064516128,12.589354838709678,1414.7525806451615,69.1316129032258,26980.080000000013,1293.8051612903228,15404.169999999998,10775,64,2302.05,73.69,25797.15,13.13
2019-01-28,10957.83,2425.7799999999997,81.16123076923077,18.027692307692313,1119.1084615384616,45.81461538461539,28347.690000000002,1019.9206153846154,17389.880000000005,9500,67,2258.57,42.88,24428.65,14.52
2019-01-29,11468.969999999994,3641.0799999999986,67.32381818181821,15.378909090909085,1128.8345454545454,49.70327272727273,24881.94000000001,1046.1334545454547,13413.050000000001,9800,55,2324.73,31.58,23690.38,15.27
2019-01-30,8769.67,2749.1799999999994,65.95844444444444,6.808666666666671,1063.88,48.08733333333333,19611.18,991.1115555555556,10841.549999999997,7725,48,1541.82,90.51,26433.11,13.02
2019-01-31,21279.700000000004,7492.629999999998,139.45644230769233,34.511153846153825,1621.9789423076923,64.22432692307692,47624.72999999996,1448.0112500000002,26345.230000000003,15250,109,1742.06,62.37,25048.42,14.4
2019-02-01,4713.25,1343.3099999999995,86.93692307692308,12.88961538461539,1145.1807692307693,39.14884615384615,10572.58,1045.3546153846155,5859.369999999999,3625,27,2539.04,43,25425.5,14.18
2019-02-04,9895.249999999998,2106.640000000001,65.51823529411764,17.30039215686275,1182.479411764706,61.86254901960785,23898.87000000001,1099.6623529411766,14003.69,7800,52,2026.51,26.96,25060.47,12.49
2019-02-05,13193.72,5065.349999999997,95.29772727272727,5.251212121212136,1961.7363636363634,91.58878787878787,25335.899999999994,1861.1866666666665,12142.340000000002,9650,77,3022.24,40.35,24795.05,14.69
2019-02-06,11537.670000000004,3986.2600000000007,104.39887096774196,11.27677419354839,1442.4730645161285,57.825322580645164,26201.469999999994,1326.7972580645164,14663.86,10050,66,2032.73,70.52,25998.32,14.89
2019-02-07,16998.749999999996,5124.699999999997,81.52666666666667,15.473095238095238,1170.7470238095236,51.16273809523809,37399.8,1073.747380952381,20401.19,15225,85,1766.48,76.01,25805.89,13.94
2019-02-08,5194.049999999999,1329.13,115.26461538461538,14.575,1335.5565384615384,52.06769230769231,12652.81,1205.7188461538462,7458.770000000002,3900,26,1829.15,32.68,24833.5,12.68
