CLIENTE,MODELO,NUM_PLAZAS,MECANISMO_MODULO,IMPORTE_LINEA,CATEGORIA,TIPO_TAPICERIA,COSTE_TAPIZADO_AGRUP,P_COSTE,MARGEN_UDS_LINEA,DTO_FAMILIA,I_COMISION,I_BRUTO,DTO_PP,DTO_LINEAS,MARGEN_BRUTO,PROVINCIA,COD_COMUNIDAD,HIPOTECA,INDENCIAS_CLIENTE,PIB_VALOR_EUROS,PARO_2020T3,status_cliente
813,10,200,0,441.0,2,T,21.8,147.61,271.59,9.0,106.26,1771.0,0.0,0.0,1771.0,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
813,26,200,4,420.0,2,T,21.8,178.04,220.16,9.0,106.26,1771.0,0.0,0.0,1771.0,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
813,26,300,0,441.0,2,T,21.8,167.19,252.01,9.0,106.26,1771.0,0.0,0.0,1771.0,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
815,0,100,1,509.6,0,T,60.18,119.69,329.73,5.0,95.43,1435.0,0.0,71.75,1363.25,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
815,0,100,1,415.8,0,T,60.18,100.24,255.38,5.0,95.43,1435.0,0.0,71.75,1363.25,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
1044,38,100,1,481.6,0,T,41.38,160.11,280.11,5.0,62.58,1317.4,0.0,65.87,1251.53,30,14.0,0.2194,26.0,20766.0,15.06,15.547442284828142
1044,38,100,1,404.6,0,T,41.38,128.05,235.17,5.0,62.58,1317.4,0.0,65.87,1251.53,30,14.0,0.2194,26.0,20766.0,15.06,15.547442284828142
1044,38,100,0,431.2,0,T,41.38,135.25,254.57,5.0,62.58,1317.4,0.0,65.87,1251.53,30,14.0,0.2194,26.0,20766.0,15.06,15.547442284828142
1118,29,200,4,372.4,0,T,56.0,113.51,202.89,9.0,57.16,897.4,0.0,80.77,816.63,31,15.0,0.2381,44.0,30508.0,8.55,18.45515833482201
1118,29,300,0,525.0,0,T,56.0,167.1,301.9,9.0,57.16,897.4,0.0,80.77,816.63,31,15.0,0.2381,44.0,30508.0,8.55,18.45515833482201
2448,44,200,4,432.6,2,T,36.79,171.38,224.43,9.0,179.66,2844.8,0.0,218.22,2626.58,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,44,100,1,354.2,2,T,36.79,120.43,196.98,9.0,179.66,2844.8,0.0,218.22,2626.58,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,44,100,1,439.6,2,T,36.79,160.15,242.66,9.0,179.66,2844.8,0.0,218.22,2626.58,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,43,100,1,420.0,2,T,36.79,246.31,136.9,9.0,179.66,2844.8,0.0,218.22,2626.58,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,26,200,4,499.8,2,T,36.79,198.24,264.77,9.0,179.66,2844.8,0.0,218.22,2626.58,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,26,100,1,310.8,2,T,36.79,90.28,183.73,9.0,179.66,2844.8,0.0,218.22,2626.58,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,26,100,1,387.8,2,T,36.79,120.45,230.56,9.0,179.66,2844.8,0.0,218.22,2626.58,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
3523,5,100,1,467.6,0,T,53.95,155.89,257.76,5.0,77.31,1653.4,29.5,77.63,1546.28,34,7.0,0.2449,33.0,25508.0,10.98,16.954526739622526
3523,5,200,0,617.4,0,T,53.95,202.83,360.62,5.0,77.31,1653.4,29.5,77.63,1546.28,34,7.0,0.2449,33.0,25508.0,10.98,16.954526739622526
3523,16,0,6,100.8,0,T,215.8,2.53,-125.12,5.0,77.31,1653.4,29.5,77.63,1546.28,34,7.0,0.2449,33.0,25508.0,10.98,16.954526739622526
5104,12,300,0,568.4,7,T,137.86,146.6,283.94,7.0,27.87,1019.2,18.96,71.35,928.9,45,8.0,0.2351,5.0,18022.0,16.7,30.29925431623193
5104,12,200,4,450.8,7,T,137.86,114.81,198.13,7.0,27.87,1019.2,18.96,71.35,928.9,45,8.0,0.2351,5.0,18022.0,16.7,30.29925431623193
5263,45,300,2,453.6,2,T,40.32,154.62,258.66,4.0,38.92,827.4,15.89,33.09,778.42,45,8.0,0.2351,30.0,18022.0,16.7,12.369618776931508
5263,45,200,4,373.8,2,T,40.32,124.61,208.87,4.0,38.92,827.4,15.89,33.09,778.42,45,8.0,0.2351,30.0,18022.0,16.7,12.369618776931508
5860,27,100,1,424.2,0,T,62.16,117.53,244.51,5.0,40.3,848.4,0.0,42.42,805.98,11,1.0,0.2673,31.0,17231.0,21.75,9.777893086209703
5878,26,300,0,613.2,0,T,48.28,188.68,376.24,6.0,28.24,613.2,11.53,36.79,564.88,37,7.0,0.2449,16.0,20654.0,10.98,21.910209610899212
5930,0,100,1,814.8,2,T,74.4,119.69,501.02,5.0,45.51,1629.6,30.96,81.48,1517.16,28,13.0,0.3404,6.0,34041.0,11.89,37.44034367442874
5976,29,75,3,597.8,0,T,92.96,213.68,291.16,7.0,41.4,890.4,0.0,62.33,828.07,46,10.0,0.2444,8.0,22882.0,15.67,27.32856942150701
5976,29,100,0,292.6,0,T,92.96,101.21,98.43,7.0,41.4,890.4,0.0,62.33,828.07,46,10.0,0.2444,8.0,22882.0,15.67,27.32856942150701
6307,26,100,1,424.2,0,T,57.32,114.39,252.49,8.0,22.95,848.4,15.61,67.88,764.9,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,12,300,0,506.8,0,T,90.56,145.81,270.43,8.0,21.74,803.6,14.79,64.28,724.53,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,12,100,0,296.8,0,T,90.56,86.87,119.37,8.0,21.74,803.6,14.79,64.28,724.53,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,65,300,0,512.4,2,T,30.32,122.44,359.65,8.0,26.39,975.8,17.95,78.06,879.78,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,65,200,0,463.4,2,T,30.32,106.11,326.98,8.0,26.39,975.8,17.95,78.06,879.78,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,30,300,0,424.2,2,T,34.65,138.55,251.0,8.0,21.13,781.2,14.37,62.5,704.32,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,30,200,4,357.0,2,T,34.65,112.96,209.39,8.0,21.13,781.2,14.37,62.5,704.32,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,9,100,1,387.8,2,T,27.02,113.38,247.4,8.0,29.39,1086.4,19.99,86.9,979.5,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,9,100,1,310.8,2,T,27.02,96.3,187.48,8.0,29.39,1086.4,19.99,86.9,979.5,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6583,26,200,0,406.0,2,T,34.42,149.39,222.19,5.0,61.95,1239.0,0.0,0.0,1239.0,50,2.0,0.2578,1.0,27011.0,10.41,100.32369292275838
6583,26,75,3,336.0,2,T,34.42,123.32,178.26,5.0,61.95,1239.0,0.0,0.0,1239.0,50,2.0,0.2578,1.0,27011.0,10.41,100.32369292275838
6583,26,300,0,497.0,2,T,34.42,187.98,274.6,5.0,61.95,1239.0,0.0,0.0,1239.0,50,2.0,0.2578,1.0,27011.0,10.41,100.32369292275838
6936,12,200,4,401.8,0,T,72.15,114.81,214.84,5.0,46.22,973.0,0.0,48.65,924.35,4,1.0,0.2673,13.0,20465.0,21.75,16.4552728671101
6936,12,100,0,250.6,0,T,72.15,76.56,101.89,5.0,46.22,973.0,0.0,48.65,924.35,4,1.0,0.2673,13.0,20465.0,21.75,16.4552728671101
6936,12,100,0,320.6,0,T,72.15,97.28,151.17,5.0,46.22,973.0,0.0,48.65,924.35,4,1.0,0.2673,13.0,20465.0,21.75,16.4552728671101
7504,12,100,0,320.6,0,T,50.05,97.28,173.27,7.0,17.53,641.2,11.93,44.88,584.4,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
7829,104,75,4,354.2,2,T,18.79,25.18,310.23,8.0,44.05,977.2,17.98,78.18,881.04,9,7.0,0.2449,26.0,27994.0,10.98,20.01014531525325
7829,104,300,0,623.0,2,T,18.79,90.92,513.29,8.0,44.05,977.2,17.98,78.18,881.04,9,7.0,0.2449,26.0,27994.0,10.98,20.01014531525325
7936,0,100,1,483.0,0,T,64.95,113.18,304.87,5.0,44.97,966.0,18.35,48.3,899.34,8,9.0,0.324,12.0,29885.0,11.4,25.96636014291466
7946,58,300,0,548.8,0,T,104.53,137.02,307.25,2.0,59.84,889.0,13.39,20.7,854.91,9,7.0,0.2449,6.0,27994.0,10.98,41.654439147139215
7946,18,50,7,137.2,0,T,104.53,5.8,26.87,2.0,59.84,889.0,13.39,20.7,854.91,9,7.0,0.2449,6.0,27994.0,10.98,41.654439147139215
7946,16,0,6,61.6,0,T,209.07,2.53,-152.53,2.0,59.84,889.0,13.39,20.7,854.91,9,7.0,0.2449,6.0,27994.0,10.98,41.654439147139215
7998,104,100,0,466.2,0,T,55.8,45.46,364.94,5.0,43.4,932.4,17.72,46.62,868.06,8,9.0,0.324,5.0,29885.0,11.4,40.22691215805301
8312,0,100,1,431.2,0,T,32.38,112.48,286.34,4.0,47.89,1696.8,32.58,67.88,1596.34,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
8312,0,100,1,344.4,0,T,32.38,93.04,218.98,4.0,47.89,1696.8,32.58,67.88,1596.34,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
8312,0,75,3,431.2,0,T,32.38,126.72,272.1,4.0,47.89,1696.8,32.58,67.88,1596.34,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
8312,0,200,0,490.0,0,T,32.38,145.65,311.97,4.0,47.89,1696.8,32.58,67.88,1596.34,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
8312,94,100,1,497.0,0,T,59.55,160.13,277.32,4.0,28.05,994.0,19.08,39.76,935.16,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
8637,26,200,4,420.0,2,T,58.65,178.04,183.31,9.0,88.16,1446.2,0.0,33.77,1412.43,31,15.0,0.2381,24.0,30508.0,8.55,24.988402512621906
8637,26,100,1,287.0,2,T,58.65,90.28,138.07,9.0,88.16,1446.2,0.0,33.77,1412.43,31,15.0,0.2381,24.0,30508.0,8.55,24.988402512621906
8637,26,100,1,364.0,2,T,58.65,120.45,184.9,9.0,88.16,1446.2,0.0,33.77,1412.43,31,15.0,0.2381,24.0,30508.0,8.55,24.988402512621906
8637,43,100,1,375.2,2,T,58.65,152.83,163.72,9.0,88.16,1446.2,0.0,33.77,1412.43,31,15.0,0.2381,24.0,30508.0,8.55,24.988402512621906
8655,32,300,2,399.0,2,T,16.51,146.43,236.06,8.0,34.46,764.4,14.07,61.15,689.19,23,1.0,0.2673,21.0,17465.0,21.75,11.960395408771298
8655,32,200,2,365.4,2,T,16.51,131.91,216.98,8.0,34.46,764.4,14.07,61.15,689.19,23,1.0,0.2673,21.0,17465.0,21.75,11.960395408771298
8708,10,100,1,383.6,1,T,43.87,82.94,256.79,7.0,35.68,767.2,0.0,53.7,713.5,3,10.0,0.2444,86.0,19066.0,15.67,7.608437364653832
8758,23,300,0,499.8,0,T,87.04,168.18,244.58,5.0,47.48,999.6,0.0,49.98,949.62,34,7.0,0.2449,25.0,25508.0,10.98,19.47926819963315
9151,20,200,4,441.0,0,T,87.38,140.83,212.79,7.0,25.73,989.8,17.49,115.32,856.99,1,16.0,0.261,9.0,36921.0,8.47,43.07779985123264
9314,65,300,0,453.6,2,T,53.86,106.73,293.01,5.0,35.64,824.6,37.52,74.21,712.87,47,7.0,0.2449,100.0,25482.0,10.98,9.734669087894705
9314,65,200,4,371.0,2,T,53.86,77.39,239.75,5.0,35.64,824.6,37.52,74.21,712.87,47,7.0,0.2449,100.0,25482.0,10.98,9.734669087894705
9314,12,300,1,504.0,2,T,14.31,175.75,313.94,5.0,21.79,504.0,22.93,45.36,435.71,47,7.0,0.2449,100.0,25482.0,10.98,9.734669087894705
9755,11,200,4,429.8,0,T,72.35,126.27,231.19,5.0,57.22,1229.2,23.35,61.46,1144.38,9,7.0,0.2449,13.0,27994.0,10.98,28.2986188898876
9755,11,100,1,368.2,0,T,72.35,79.1,216.76,5.0,57.22,1229.2,23.35,61.46,1144.38,9,7.0,0.2449,13.0,27994.0,10.98,28.2986188898876
9755,11,100,1,431.2,0,T,72.35,99.4,259.46,5.0,57.22,1229.2,23.35,61.46,1144.38,9,7.0,0.2449,13.0,27994.0,10.98,28.2986188898876
386,12,300,0,446.6,2,T,35.51,150.93,260.16,8.0,36.77,799.4,0.0,63.95,735.45,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,12,200,4,352.8,2,T,35.51,114.81,202.48,8.0,36.77,799.4,0.0,63.95,735.45,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
1257,38,200,4,485.8,1,T,28.42,174.5,282.88,18.0,124.09,3088.4,50.65,555.91,2481.83,39,6.0,0.2589,87.0,22767.0,10.5,9.811436619406681
1257,38,100,1,390.6,1,T,28.42,128.05,234.13,18.0,124.09,3088.4,50.65,555.91,2481.83,39,6.0,0.2589,87.0,22767.0,10.5,9.811436619406681
1257,38,100,1,462.0,1,T,28.42,161.96,271.62,18.0,124.09,3088.4,50.65,555.91,2481.83,39,6.0,0.2589,87.0,22767.0,10.5,9.811436619406681
1257,20,200,4,382.2,1,T,28.42,140.83,212.95,18.0,124.09,3088.4,50.65,555.91,2481.83,39,6.0,0.2589,87.0,22767.0,10.5,9.811436619406681
1257,38,100,1,509.6,0,T,54.06,164.32,291.22,18.0,40.95,1019.2,16.71,183.46,819.02,39,6.0,0.2589,87.0,22767.0,10.5,9.811436619406681
2776,18,100,0,259.0,2,T,29.86,94.4,134.74,3.0,36.26,518.0,0.0,0.0,518.0,36,12.0,0.2637,6.0,21612.0,10.61,35.88055048149255
2776,18,100,0,259.0,2,T,29.86,91.34,137.8,3.0,36.26,518.0,0.0,0.0,518.0,36,12.0,0.2637,6.0,21612.0,10.61,35.88055048149255
3225,28,100,1,702.8,2,T,61.38,183.2,275.02,9.0,18.8,702.8,12.79,63.25,626.76,41,1.0,0.2673,320.0,19665.0,21.75,3.251193935624822
3225,28,100,1,351.4,2,T,17.77,183.2,150.43,9.0,9.4,351.4,6.4,31.63,313.37,41,1.0,0.2673,320.0,19665.0,21.75,3.251193935624822
3225,20,200,4,441.0,0,T,93.37,140.83,206.8,9.0,26.48,989.8,18.01,89.08,882.7,41,1.0,0.2673,320.0,19665.0,21.75,3.251193935624822
4118,26,300,0,441.0,2,T,47.05,167.19,226.76,8.0,60.27,861.0,0.0,0.0,861.0,12,10.0,0.2444,20.0,26351.0,15.67,18.548058357830065
4118,26,200,4,420.0,2,T,47.05,178.04,194.91,8.0,60.27,861.0,0.0,0.0,861.0,12,10.0,0.2444,20.0,26351.0,15.67,18.548058357830065
4498,10,100,1,387.8,0,T,52.94,94.0,240.86,8.0,43.99,975.8,17.95,78.06,879.78,30,14.0,0.2194,47.0,20766.0,15.06,11.563696863047731
4498,10,100,2,200.2,0,T,52.94,43.62,103.64,8.0,43.99,975.8,17.95,78.06,879.78,30,14.0,0.2194,47.0,20766.0,15.06,11.563696863047731
4775,36,100,1,604.8,5,P,151.5,157.77,295.53,7.0,147.55,2312.8,43.02,161.89,2107.89,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4775,36,100,1,494.2,5,P,151.5,128.05,214.65,7.0,147.55,2312.8,43.02,161.89,2107.89,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4775,36,200,3,669.2,5,P,151.5,170.44,347.26,7.0,147.55,2312.8,43.02,161.89,2107.89,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4775,36,100,2,544.6,5,P,151.5,127.39,265.71,7.0,147.55,2312.8,43.02,161.89,2107.89,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4888,8,200,4,431.2,0,T,66.99,128.51,235.7,9.0,44.97,988.4,0.0,88.96,899.44,29,1.0,0.2673,13.0,18036.0,21.75,15.447895650113331
4888,8,300,0,557.2,0,T,66.99,173.12,317.09,9.0,44.97,988.4,0.0,88.96,899.44,29,1.0,0.2673,13.0,18036.0,21.75,15.447895650113331
5104,12,100,0,296.8,0,T,55.54,91.77,149.49,7.0,22.03,803.6,14.95,56.26,732.39,45,8.0,0.2351,5.0,18022.0,16.7,30.29925431623193
5104,12,300,0,506.8,0,T,55.54,150.93,300.33,7.0,22.03,803.6,14.95,56.26,732.39,45,8.0,0.2351,5.0,18022.0,16.7,30.29925431623193
5458,37,200,4,422.8,0,T,64.77,133.03,225.0,8.0,43.08,936.6,0.0,74.92,861.68,30,14.0,0.2194,13.0,20766.0,15.06,21.987403739416898
5458,37,300,0,513.8,0,T,64.77,162.65,286.38,8.0,43.08,936.6,0.0,74.92,861.68,30,14.0,0.2194,13.0,20766.0,15.06,21.987403739416898
6307,5,100,1,485.8,0,T,65.51,164.22,256.08,8.0,41.01,1516.2,27.9,121.3,1367.0,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,5,100,1,396.2,0,T,65.51,137.13,193.57,8.0,41.01,1516.2,27.9,121.3,1367.0,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,5,75,3,634.2,0,T,65.51,238.06,330.64,8.0,41.01,1516.2,27.9,121.3,1367.0,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,20,200,4,382.2,2,T,24.46,140.83,216.91,8.0,23.67,875.0,16.1,70.0,788.9,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6823,1,300,2,500.76,2,T,25.01,97.45,378.3,5.0,153.09,1611.48,0.0,80.58,1530.9,13,8.0,0.2351,2.0,20771.0,16.7,51.43149575930688
6823,1,100,2,266.76,2,T,25.01,53.02,188.73,5.0,153.09,1611.48,0.0,80.58,1530.9,13,8.0,0.2351,2.0,20771.0,16.7,51.43149575930688
6823,1,100,2,424.32,2,T,50.02,36.05,302.2,5.0,153.09,1611.48,0.0,80.58,1530.9,13,8.0,0.2351,2.0,20771.0,16.7,51.43149575930688
6823,1,100,1,419.64,2,T,25.01,78.57,316.06,5.0,153.09,1611.48,0.0,80.58,1530.9,13,8.0,0.2351,2.0,20771.0,16.7,51.43149575930688
6871,15,200,0,675.48,2,T,18.08,206.05,451.35,5.0,100.17,1358.76,0.0,106.67,1252.09,30,14.0,0.2194,22.0,20766.0,15.06,16.901851702754097
6962,45,300,2,627.12,2,T,66.42,154.62,406.08,7.0,72.41,1112.28,0.0,77.86,1034.42,29,1.0,0.2673,20.0,18036.0,21.75,12.454491640003367
6962,45,200,4,485.16,2,T,66.42,124.61,294.13,7.0,72.41,1112.28,0.0,77.86,1034.42,29,1.0,0.2673,20.0,18036.0,21.75,12.454491640003367
7761,0,300,0,536.2,0,T,87.03,154.01,295.16,8.0,42.38,1143.8,211.89,84.35,847.56,30,14.0,0.2194,143.0,20766.0,15.06,6.629451665245737
